weld force(bar),weld current(kA),weld Voltage(v),weld time(ms)
2.32,14.750000000000002,2.7,72.0
2.32,14.750000000000002,2.7,72.0
2.33,14.729999999999999,2.702,72.0
2.33,14.729999999999999,2.702,72.0
2.33,14.72,2.7039999999999997,71.0
2.33,14.72,2.7039999999999997,71.0
2.31,14.770000000000001,2.7060000000000004,72.0
2.31,14.770000000000001,2.7060000000000004,71.0
2.32,14.709999999999999,2.705,73.0
2.32,14.709999999999999,2.705,72.0
2.31,14.74,2.7039999999999997,72.0
2.31,14.74,2.7039999999999997,72.0
2.31,14.750000000000002,2.702,71.0
2.31,14.750000000000002,2.702,72.0
2.32,14.750000000000002,2.701,72.0
2.32,14.750000000000002,2.701,71.0
2.31,14.750000000000002,2.702,72.0
2.31,14.750000000000002,2.702,70.0
2.32,14.729999999999999,2.699,71.0
2.32,14.729999999999999,2.699,72.0
2.31,14.78,2.699,72.0
2.31,14.78,2.699,72.0
2.32,14.729999999999999,2.7030000000000003,73.0
2.32,14.729999999999999,2.7030000000000003,71.0
2.32,14.74,2.7089999999999996,71.0
2.32,14.74,2.7089999999999996,72.0
2.32,14.72,2.707,72.0
2.32,14.72,2.707,72.0
2.33,14.72,2.7030000000000003,72.0
2.33,14.72,2.7030000000000003,72.0
2.32,14.729999999999999,2.702,72.0
2.32,14.729999999999999,2.702,72.0
2.32,14.74,2.705,71.0
2.32,14.74,2.705,71.0
